bulan,#freq
2007-10,1
2007-11,1
2007-12,0
2008-01,2
2008-02,0
2008-03,1
2008-04,1
2008-05,0
2008-06,2
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,1
2009-02,1
2009-03,2
2009-04,1
2009-05,3
2009-06,8
2009-07,18
2009-08,5
2009-09,9
2009-10,6
2009-11,4
2009-12,12
2010-01,12
2010-02,16
2010-03,23
2010-04,22
2010-05,20
2010-06,22
2010-07,33
2010-08,46
2010-09,38
2010-10,27
2010-11,26
2010-12,34
2011-01,38
2011-02,33
2011-03,23
2011-04,28
2011-05,23
2011-06,44
2011-07,24
2011-08,31
2011-09,35
2011-10,29
2011-11,30
2011-12,36
2012-01,53
2012-02,60
2012-03,59
2012-04,58
2012-05,50
2012-06,77
2012-07,46
2012-08,40
2012-09,43
2012-10,30
2012-11,60
2012-12,64
2013-01,116
2013-02,72
2013-03,94
2013-04,100
2013-05,73
2013-06,82
2013-07,62
2013-08,53
2013-09,43
2013-10,50
2013-11,47
2013-12,54
2014-01,46
2014-02,50
2014-03,39
2014-04,70
2014-05,69
2014-06,85
2014-07,43
2014-08,49
2014-09,55
2014-10,33
2014-11,27
2014-12,35
2015-01,103
2015-02,154
2015-03,79
2015-04,21
2015-05,28
2015-06,37
2015-07,24
2015-08,28
2015-09,27
2015-10,18
2015-11,26
2015-12,31
2016-01,90
2016-02,132
2016-03,43
2016-04,26
2016-05,28
2016-06,26
2016-07,23
2016-08,26
2016-09,31
2016-10,31
2016-11,25
2016-12,7
2017-01,26
2017-02,19
2017-03,8
2017-04,13
2017-05,22
2017-06,11
2017-07,5
2017-08,9
2017-09,13
2017-10,13
2017-11,13
2017-12,13
2018-01,8
2018-02,6
2018-03,5
2018-04,13
2018-05,10
2018-06,4
2018-07,17
2018-08,6
2018-09,8
2018-10,5
2018-11,4
2018-12,22
2019-01,61
2019-02,54
2019-03,23
2019-04,19
2019-05,9
2019-06,5
2019-07,28
2019-08,25
2019-09,133
